Specialty of Practice,Erie St. Clair - Rank,South West - Rank,Waterloo Wellington - Rank,Hamilton Niagara Haldimand Brant - Rank,Central West - Rank,Mississauga Halton - Rank,Toronto Central - Rank,Central - Rank,Central East - Rank,South East - Rank,Champlain - Rank,North Simcoe Muskoka - Rank,North East - Rank,North West - Rank,Grand Total - Rank
Family Medicine,0.12023586940888824,0.3191428160506256,0.2650654393786854,0.20336545376096649,0.0,0.36933697684452743,1.0,0.2906658996116783,0.13389903638717104,0.5665180497626924,0.6728031065727025,0.40097799511002435,0.5735653674672803,0.9339853300733496,0.3788292823241767
F.M./Emergency Medicine,0.33333333333333326,0.591111111111111,0.5022222222222222,0.28,0.0,0.6325925925925925,0.7125925925925924,0.3540740740740741,0.12296296296296291,0.5970370370370369,0.8933333333333332,0.7792592592592592,0.8207407407407407,1.0,0.48
Family Medicine Total,0.14272262577347322,0.3521657250470809,0.2935162765671239,0.21563088512241055,0.0,0.40287866559053004,1.0,0.30414312617702444,0.13640032284100082,0.5840731772935163,0.7103847188592951,0.4457896152811407,0.6109765940274415,0.9643529728275491,0.39790153349475377
Anesthesiology,0.13092550790067722,0.4136568848758465,0.14390519187358916,0.3465011286681716,0.0,0.1405191873589165,1.0,0.21670428893905191,0.14898419864559823,0.44751693002257337,0.44243792325056436,0.08860045146726865,0.26185101580135445,0.07618510158013547,0.30248306997742663
Clinical Pharmacology & Toxicology,0.0,0.8333333333333334,1.0,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Critical Care Medicine,0.12830188679245283,0.02264150943396228,0.26415094339622636,0.18490566037735845,0.1584905660377359,0.15094339622641512,0.490566037735849,0.07924528301886795,0.11320754716981132,0.46792452830188674,0.3169811320754717,0.03018867924528304,0.0,1.0,0.19999999999999998
Diagnostic Radiology,0.0834492350486787,0.34353268428372735,0.0737134909596662,0.38803894297635605,0.0,0.1877607788595271,1.0,0.17663421418636993,0.06606397774687063,0.4151599443671765,0.3414464534075104,0.06745479833101531,0.03268428372739918,0.1780250347705146,0.2656467315716272
Emergency Medicine,0.2683615819209039,0.6751412429378532,0.0,0.4562146892655367,0.026836158192090405,0.17796610169491522,1.0,0.011299435028248582,0.001412429378531059,0.8813559322033898,0.6511299435028249,0.08898305084745763,0.01694915254237288,0.16384180790960448,0.3177966101694915
Medical Genetics,0.0,0.34234234234234234,0.0,0.23423423423423423,0.0,0.2072072072072072,1.0,0.09009009009009009,0.16216216216216214,0.5225225225225224,0.7567567567567567,0.0,0.0,0.0,0.27927927927927926
Neuroradiology,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6363636363636365,0.0,0.0,0.0,0.13636363636363635
Nuclear Medicine,0.6043956043956044,0.725274725274725,0.16483516483516478,0.36263736263736257,0.18681318681318676,0.2967032967032966,1.0,0.3406593406593406,0.2307692307692307,0.4175824175824175,0.6263736263736264,0.0,0.16483516483516478,0.2417582417582417,0.4175824175824175
Pain Medicine,0.0,0.28571428571428575,0.0,0.0,0.0,0.2285714285714286,0.20000000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000004
Palliative Medicine,0.0,0.0,0.857142857142857,0.0,0.6428571428571428,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21428571428571425
Physical Medicine & Rehab.,0.16,0.42666666666666664,0.14444444444444443,0.5044444444444445,0.04444444444444444,0.1711111111111111,1.0,0.23111111111111113,0.09333333333333332,0.43555555555555553,0.4466666666666667,0.2222222222222222,0.0,0.14888888888888888,0.3177777777777778
Psychiatry,0.060681114551083576,0.20227038183694532,0.12487100103199174,0.1459236326109391,0.0,0.09019607843137255,1.0,0.11083591331269349,0.0460268317853457,0.2813209494324045,0.2858617131062951,0.09060887512899896,0.07678018575851392,0.18452012383900931,0.20557275541795667
Psychiatry - Child & Adolescent,0.3333333333333333,0.36538461538461536,0.15064102564102563,0.21153846153846154,0.0,0.25,1.0,0.16346153846153846,0.07692307692307691,0.25,0.358974358974359,0.06410256410256411,0.11217948717948717,0.2692307692307692,0.2692307692307692
